wave_id,country,variant,variant_era,strategy,start,end,peak_date,mean_StringencyIndex_Average,early_StringencyIndex_Average,late_StringencyIndex_Average,peak_StringencyIndex_Average,mean_GovernmentResponseIndex_Average,early_GovernmentResponseIndex_Average,late_GovernmentResponseIndex_Average,peak_GovernmentResponseIndex_Average,mean_ContainmentHealthIndex_Average,early_ContainmentHealthIndex_Average,late_ContainmentHealthIndex_Average,peak_ContainmentHealthIndex_Average,mean_EconomicSupportIndex,early_EconomicSupportIndex,late_EconomicSupportIndex,peak_EconomicSupportIndex,mean_reservoir_gating_index,early_reservoir_gating_index,late_reservoir_gating_index,peak_reservoir_gating_index,mean_detection_index,early_detection_index,late_detection_index,peak_detection_index,mean_barrier_information_index,early_barrier_information_index,late_barrier_information_index,peak_barrier_information_index,mean_targeted_protection_index,early_targeted_protection_index,late_targeted_protection_index,peak_targeted_protection_index,mean_people_vaccinated_per_hundred,early_people_vaccinated_per_hundred,late_people_vaccinated_per_hundred,peak_people_vaccinated_per_hundred,mean_people_fully_vaccinated_per_hundred,early_people_fully_vaccinated_per_hundred,late_people_fully_vaccinated_per_hundred,peak_people_fully_vaccinated_per_hundred,mean_total_boosters_per_hundred,early_total_boosters_per_hundred,late_total_boosters_per_hundred,peak_total_boosters_per_hundred,mean_positive_rate,early_positive_rate,late_positive_rate,peak_positive_rate,mean_tests_per_case,early_tests_per_case,late_tests_per_case,peak_tests_per_case,mean_reproduction_rate,early_reproduction_rate,late_reproduction_rate,peak_reproduction_rate,mean_new_deaths_smoothed_per_million,early_new_deaths_smoothed_per_million,late_new_deaths_smoothed_per_million,peak_new_deaths_smoothed_per_million
JP03,Japan,Ancestral,pre-variant,Cluster-focused response and voluntary behavioural suppression,2020-09-30,2021-02-27,2021-01-08,42.56119205298013,35.19,49.63928571428571,49.54,54.75801324503313,50.519999999999996,59.62785714285716,58.59,48.29556291390729,43.45,53.86714285714286,52.68,100.0,100.0,100.0,100.0,40.83096814884895,34.523809523809526,46.42857142857144,46.42857142857143,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,62.5,62.5,62.5,62.5,50.728476821192054,50.0,57.857142857142854,50.0,0.0007235371352980133,0.0,0.007803864816428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4776246112582765,2.3330249071428573,3.0600942142857144,10.729987,22.77656698013245,46.11942392857143,33.14167135714286,9.584796,1.0486688741721855,1.0281285714285713,0.7452571428571427,1.5736,0.3211112176688741,0.04849073314285714,0.5806642785714284,0.45372304
JP04,Japan,Alpha,Alpha,Cluster-focused response and voluntary behavioural suppression,2021-02-28,2021-06-18,2021-05-11,47.35324324324326,46.56142857142857,54.23000000000001,49.07,56.49243243243244,58.16857142857144,59.567142857142834,56.67,50.278648648648684,52.19285714285713,53.797142857142866,50.48,100.0,100.0,100.0,100.0,50.46117546117548,46.42857142857144,64.45578231292515,51.1904761904762,70.72072072072073,83.33333333333334,66.66666666666666,66.66666666666667,62.5,62.5,62.5,62.5,55.6156156156156,60.0,53.33333333333335,53.333333333333336,4.40614986363964,0.07276535028571429,16.82269907142857,3.5285378,1.5383374317198197,0.00040995078571428575,5.971028957142858,1.1270946,0.0,0.0,0.0,0.0,4.609716955855856,2.277339435714286,3.1386880142857145,7.8790836,26.186377364864864,44.273716214285706,32.35969135714286,12.819808,1.0325405405405406,0.9730785714285713,0.7074642857142857,1.1871,0.4755922028828829,0.4338042999999999,0.5908685607142857,0.67887026
JP05,Japan,Delta,Delta,Cluster-focused response and voluntary behavioural suppression,2021-06-19,2021-11-25,2021-08-22,50.026125,53.50428571428572,47.22000000000001,52.31,58.0339375,61.301428571428566,56.01428571428572,57.86,52.040687500000004,55.77285714285714,49.730000000000004,51.85,100.0,100.0,100.0,100.0,53.64583333333335,62.58503401360546,46.42857142857144,59.523809523809526,50.41666666666667,66.66666666666666,41.66666666666667,41.66666666666667,62.5,62.5,62.5,62.5,76.18750000000003,70.4761904761905,80.95238095238098,73.33333333333334,59.84322699375,25.055905571428575,80.39683892857144,55.872463,49.58483791249999,12.199853857142855,78.17081071428572,44.79383,0.0,0.0,0.0,0.0,6.3218150805625,2.611746071428571,0.3652969907142857,17.71169,60.613292316249996,38.32347721428571,276.981345,5.6866546,0.8989612499999999,0.9312357142857143,0.7595785714285713,1.1987,0.20764686916875,0.31078151000000004,0.0200820205,0.25486207
JP06,Japan,Omicron BA.1,Omicron BA.1,Cluster-focused response and voluntary behavioural suppression,2021-11-26,2022-05-27,2022-02-06,46.482513661202184,47.22000000000001,44.71571428571429,47.22,55.68120218579236,56.150714285714294,52.75428571428572,54.57,49.351092896174876,49.88642857142857,46.010000000000005,48.08,100.0,100.0,100.0,100.0,46.35050741608121,46.42857142857144,45.40816326530613,46.42857142857143,54.781420765027335,54.166666666666664,41.66666666666667,41.66666666666667,62.5,62.5,62.5,62.5,66.66666666666667,66.66666666666666,66.66666666666666,66.66666666666667,81.66134279781421,80.68914342857144,82.82249549999999,81.323166,80.34857775409836,79.13907071428572,81.56440292857144,80.09877,25.269995999697816,0.01650066162142857,58.82137271428571,8.242824,24.336976480983605,0.2532105692857143,28.92157778571428,37.071423,70.56278775737705,400.4031478571428,3.4666769357142857,2.712973,1.241425136612022,0.9541857142857142,0.9384214285714284,1.2487,0.5260804209098359,0.010041010321428569,0.27992376785714285,0.6400124
JP07,Japan,Omicron BA.5,Omicron BA.4/BA.5,Cluster-focused response and voluntary behavioural suppression,2022-06-18,2022-11-04,2022-08-21,35.72835714285714,37.519999999999996,31.480000000000008,37.52,46.94914285714286,48.71,40.10000000000001,49.75,41.155857142857144,41.38,38.69,42.57,87.5,100.0,50.0,100.0,35.714285714285715,35.714285714285715,35.714285714285715,35.714285714285715,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,55.357142857142854,62.5,37.5,62.5,79.64285714285715,66.66666666666666,83.33333333333334,83.33333333333334,83.26951335000001,83.02010299999999,83.44037128571429,83.28763,82.14477266428571,81.87631999999999,82.35967814285712,82.12228,83.33686492142857,62.740961285714285,99.93292571428573,84.255875,14.524266160714284,11.724772607142855,14.835320999999997,14.835321,7.064765675714284,9.981629457142857,6.740669699999999,6.7406697,1.0674314285714286,1.0724857142857143,1.1791428571428573,1.1048,0.9078787635857142,0.15820713914285714,0.43943706285714285,2.1783278
ZA01,South Africa,Ancestral,pre-variant,Mitigation under constrained surveillance and high prior infection,2020-05-11,2020-09-28,2020-07-16,76.22134751773049,84.26,62.69928571428569,80.56,74.88851063829789,73.96000000000001,68.07857142857144,78.12,75.78340425531913,80.95000000000002,67.09000000000002,78.57,68.61702127659575,25.0,75.0,75.0,79.66058763931103,86.90476190476191,66.3265306122449,82.14285714285714,100.0,100.0,100.0,100.0,87.5,87.5,87.5,87.5,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.754180336170215,3.9271679428571424,9.505972107142856,24.269974,9.772869311347518,26.31746464285714,10.532489214285716,4.1315417,1.0759921985815604,1.403892857142857,0.9135714285714286,1.1324,2.1113737592907804,0.20922333285714284,1.1303621928571428,1.974126
ZA02,South Africa,Beta,Beta,Mitigation under constrained surveillance and high prior infection,2020-09-30,2021-04-04,2021-01-08,51.153850267379674,51.392857142857125,48.14999999999999,56.48,62.06700534759358,61.72000000000002,61.14999999999999,64.58,60.21839572192513,59.817857142857136,59.16999999999998,63.1,75.0,75.0,75.0,75.0,46.173924115100604,51.78571428571428,40.47619047619048,51.1904761904762,100.0,100.0,100.0,100.0,87.96791443850267,87.5,87.5,87.5,53.36898395721925,50.0,60.0,50.0,0.055352384331550805,0.0,0.3814330971428572,0.0,0.055352384331550805,0.0,0.3814330971428572,0.0,0.0,0.0,0.0,0.0,12.639294411764707,8.515882571428572,4.495075421428572,30.82471,11.317848093048129,11.820845,22.286066357142854,3.245531,0.9944604278074864,1.0125285714285714,0.9475142857142858,1.1242,2.9162674190909095,1.262374097142857,1.312267042142857,7.6491656
ZA03,South Africa,Delta,Delta,Mitigation under constrained surveillance and high prior infection,2021-04-05,2021-10-23,2021-07-05,51.46178217821782,45.56857142857143,48.14999999999999,72.22,60.23702970297029,55.04928571428572,60.94000000000002,71.98,61.18653465346535,52.20571428571428,62.5,75.12,53.58910891089109,75.0,50.0,50.0,45.232201791607736,37.159863945578245,40.47619047619048,75.0,92.16171617161717,84.52380952380953,100.0,83.33333333333334,87.5,87.5,87.5,87.5,67.06270627062709,38.333333333333336,83.33333333333334,80.0,8.752141602227724,0.45972667357142843,22.455277857142853,5.5567746,5.368610542772277,0.45972667357142843,16.974301142857147,0.769125,0.0,0.0,0.0,0.0,13.894848677722774,3.937881292857143,2.812409378571428,26.282475,12.53519351831683,25.554989714285714,36.95230178571429,3.809966,0.9967900990099011,1.0428142857142857,0.6561928571428571,1.1366,2.8476102387128717,0.7753859357142857,0.8795886392857142,4.442929
ZA04,South Africa,Omicron BA.1,Omicron BA.1,Mitigation under constrained surveillance and high prior infection,2021-11-03,2022-03-30,2021-12-14,46.4931081081081,48.14999999999999,36.48071428571429,57.41,57.03472972972974,60.94000000000002,48.646428571428565,66.15,58.039121621621625,62.5,48.44999999999999,68.45,50.0,50.0,50.0,50.0,38.65025740025741,40.47619047619048,28.656462585034028,52.38095238095239,100.0,100.0,100.0,100.0,86.23310810810811,87.5,75.0,87.5,60.810810810810814,83.33333333333334,50.0,83.33333333333334,30.42022376351352,25.597836285714287,33.379054571428576,29.70683,25.59385597297297,20.96699907142857,28.41605742857143,24.805813,0.8796436078378378,0.0,3.159185892857143,0.0,12.253138460810812,1.1508118857142855,5.735224885714284,24.43104,21.817904342567566,89.04883885714285,17.481564857142857,4.1236515,0.9940060810810812,0.9852357142857143,0.965392857142857,1.351,1.1735106527702706,0.38965597,0.2800549978571429,0.39619932
ZA05,South Africa,Omicron BA.4/BA.5,Omicron BA.4/BA.5,Mitigation under constrained surveillance and high prior infection,2022-03-31,2022-06-29,2022-05-08,33.79538461538462,35.64142857142857,21.731428571428577,36.11,46.85725274725275,48.17214285714285,38.56142857142857,48.43,46.414285714285704,47.915,36.93071428571428,48.22,50.0,50.0,50.0,50.0,31.17477760334903,32.48299319727891,14.79591836734694,34.523809523809526,100.0,100.0,100.0,100.0,72.8021978021978,75.0,60.714285714285715,75.0,50.0,50.0,50.0,50.0,34.47182896703297,33.68454692857143,35.235295071428574,34.28633,29.703060560439564,28.870443857142856,30.46299342857143,29.547075,4.6791841604395605,3.754687492857143,5.456667257142857,4.546709,13.275064874725274,5.9923944928571435,7.968995185714285,22.548717,9.832286923076923,16.714333785714285,12.569545642857145,4.457246,0.9885835164835165,1.0962714285714286,0.6800071428571429,1.2501,0.3136022084065934,0.16162052678571429,0.2859440078571428,0.35039592
KR01,South Korea,Ancestral,pre-variant,Test-trace-isolate with adaptive distancing,2020-02-19,2020-05-02,2020-03-01,61.66445945945947,50.267142857142844,45.63642857142857,55.56,53.86418918918919,38.69214285714286,50.15000000000001,41.67,57.64972972972973,44.21785714285714,50.170714285714276,47.62,27.364864864864863,0.0,50.0,0.0,67.42277992277994,55.95238095238095,44.38775510204082,63.095238095238095,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,58.277027027027025,50.0,62.5,50.0,34.45945945945946,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527517777837838,1.9267480128571428,0.26152330928571427,3.1113143,220.25316586486485,433.38026035714284,435.87680499999993,32.86576,1.0714388888888888,3.399508333333333,0.4883214285714285,2.3535,0.06412325291081082,0.023646781385714282,0.02975553321428572,0.038623076
KR02,South Korea,Ancestral,pre-variant,Test-trace-isolate with adaptive distancing,2020-05-16,2020-09-30,2020-08-24,51.80355072463768,41.961428571428584,51.620000000000005,53.24,53.73760869565217,49.090714285714284,52.992142857142845,53.91,54.2695652173913,48.95642857142858,53.4242857142857,54.46,50.0,50.0,50.0,50.0,66.28709454796413,40.64625850340138,64.03061224489797,70.23809523809524,83.33333333333336,83.33333333333334,83.33333333333334,83.33333333333334,75.0,75.0,75.0,75.0,38.888888888888886,50.0,33.33333333333333,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7036879729710146,0.21420870499999997,0.9449070264285714,1.9346384,215.8465840289855,488.69015214285724,106.13151892857142,51.737724,1.0959326086956522,1.2771142857142859,0.7544428571428572,1.3884,0.020171161294202898,0.013793955714285714,0.06069340485714286,0.011035165
KR03,South Korea,Ancestral,pre-variant,Test-trace-isolate with adaptive distancing,2020-10-01,2021-02-06,2020-12-22,59.302558139534874,61.277142857142884,63.88999999999999,61.57,57.83604651162791,58.64928571428571,58.33000000000002,60.16,59.98240310077519,59.88571428571428,63.10000000000001,61.61,42.82945736434109,50.0,25.0,50.0,65.47619047619047,67.43197278911563,70.23809523809521,70.23809523809524,83.33333333333336,83.33333333333334,83.33333333333334,83.33333333333334,86.33720930232558,76.78571428571429,87.5,87.5,33.333333333333336,33.33333333333333,33.33333333333333,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2853081889147286,0.9175658464285714,0.674552025,1.913839,94.60323321705425,109.69391564285714,148.9062164285714,55.13115,1.0890868217054264,0.9542357142857144,0.9222285714285713,1.105,0.15564714651937983,0.04098775378571429,0.200012355,0.33657253
KR04,South Korea,Delta,Delta,Test-trace-isolate with adaptive distancing,2021-06-19,2021-10-19,2021-09-27,46.60065040650407,48.08142857142858,43.85142857142858,44.66,55.88959349593496,55.160000000000004,55.395714285714284,55.85,60.30170731707317,59.47000000000001,59.73428571428571,60.26,25.0,25.0,25.0,25.0,52.787456445993044,48.29931972789115,47.61904761904763,54.761904761904766,100.0,100.0,100.0,100.0,87.5,87.5,87.5,87.5,76.17886178861792,63.33333333333335,83.33333333333334,83.33333333333334,50.54713645528456,29.15197757142857,77.25463035714286,74.11014,27.8904353,8.8583751,60.729923714285704,46.094624,0.0032813442786666664,8.910895435714285e-05,0.015008513335714287,0.0053299842,1.2131710769105692,0.8766112042857144,1.347237207142857,1.491926,84.24335177235773,115.14712064285716,74.42136607142857,67.08485,1.0692398373983742,1.1346071428571427,0.8466714285714286,1.2016,0.10447519625203254,0.03704662428571428,0.2051358257142857,0.14069834
KR05,South Korea,Delta,Delta,Test-trace-isolate with adaptive distancing,2021-10-20,2022-01-06,2021-12-14,43.820759493670884,43.20142857142857,46.394999999999996,44.61,55.37911392405066,55.030714285714296,56.825714285714284,55.82,59.717974683544305,59.31714285714286,61.369285714285716,60.23,25.0,25.0,25.0,25.0,43.70102471368296,46.938775510204096,46.42857142857144,41.66666666666667,100.0,100.0,100.0,100.0,87.5,87.5,87.5,87.5,83.33333333333333,83.33333333333334,83.33333333333334,83.33333333333334,81.70900465822784,78.73391400000001,84.75391992857142,82.76271,77.8308462405063,71.24779964285713,81.65119421428572,80.338745,11.48135807518987,0.13584922142857142,34.0975385,15.441454,1.9607881405063288,1.241739507142857,2.416580914285714,2.544398,54.80970682278482,81.01788285714285,41.583653857142856,39.337452,1.092915189873418,1.0907,0.8156357142857144,1.1444,0.7642200592405063,0.2612969285714285,1.285793707142857,1.2028329
KR06,South Korea,Omicron BA.1/BA.2,Omicron BA.1/BA.2,Test-trace-isolate with adaptive distancing,2022-01-07,2022-06-21,2022-03-14,31.035783132530124,46.30357142857143,13.889999999999999,40.74,47.61512048192771,56.77428571428572,36.71714285714285,53.65,50.848012048192764,61.30999999999999,38.4,57.74,25.0,25.0,25.0,25.0,25.702811244979916,46.42857142857144,3.5714285714285707,38.095238095238095,100.0,100.0,100.0,100.0,87.5,87.5,87.5,87.5,78.0120481927711,83.33333333333334,66.66666666666666,83.33333333333334,86.06386323493976,85.347804,86.34798614285715,86.10369,85.02626753614456,83.29167507142857,85.503483,85.216156,62.536552469879524,43.78813814285714,72.70128199999999,62.411278,26.4944445313253,2.0776368714285716,8.369155885714285,34.8514,10.699239796385541,48.71788471428572,12.302844000000002,2.878528,1.0411686746987951,1.0707357142857143,0.7789285714285714,1.3781,2.1716838149999997,0.8370960578571429,0.24218244928571428,4.430619
