wave_id,province,variant,wave_start,day,date,reported_cases
W007,Guizhou,Alpha,2020-01-22,3,2020-01-25,1.0
W007,Guizhou,Alpha,2020-01-22,4,2020-01-26,1.0
W007,Guizhou,Alpha,2020-01-22,5,2020-01-27,2.0
W007,Guizhou,Alpha,2020-01-22,6,2020-01-28,2.0
W007,Guizhou,Alpha,2020-01-22,7,2020-01-29,0.0
W007,Guizhou,Alpha,2020-01-22,8,2020-01-30,3.0
W007,Guizhou,Alpha,2020-01-22,9,2020-01-31,17.0
W007,Guizhou,Alpha,2020-01-22,10,2020-02-01,0.0
W007,Guizhou,Alpha,2020-01-22,11,2020-02-02,9.0
W007,Guizhou,Alpha,2020-01-22,12,2020-02-03,8.0
W007,Guizhou,Alpha,2020-01-22,13,2020-02-04,12.0
W007,Guizhou,Alpha,2020-01-22,14,2020-02-05,6.0
W007,Guizhou,Alpha,2020-01-22,15,2020-02-06,7.0
W007,Guizhou,Alpha,2020-01-22,16,2020-02-07,10.0
W007,Guizhou,Alpha,2020-01-22,17,2020-02-08,8.0
W007,Guizhou,Alpha,2020-01-22,18,2020-02-09,10.0
W007,Guizhou,Alpha,2020-01-22,19,2020-02-10,10.0
W007,Guizhou,Alpha,2020-01-22,20,2020-02-11,18.0
W007,Guizhou,Alpha,2020-01-22,21,2020-02-12,6.0
W007,Guizhou,Alpha,2020-01-22,22,2020-02-13,2.0
W007,Guizhou,Alpha,2020-01-22,23,2020-02-14,5.0
W007,Guizhou,Alpha,2020-01-22,24,2020-02-15,3.0
W007,Guizhou,Alpha,2020-01-22,25,2020-02-16,1.0
W007,Guizhou,Alpha,2020-01-22,26,2020-02-17,2.0
W008,Hainan,Alpha,2020-01-22,0,2020-01-22,4.0
W008,Hainan,Alpha,2020-01-22,1,2020-01-23,1.0
W008,Hainan,Alpha,2020-01-22,2,2020-01-24,3.0
W008,Hainan,Alpha,2020-01-22,3,2020-01-25,11.0
W008,Hainan,Alpha,2020-01-22,4,2020-01-26,3.0
W008,Hainan,Alpha,2020-01-22,5,2020-01-27,11.0
W008,Hainan,Alpha,2020-01-22,6,2020-01-28,7.0
W008,Hainan,Alpha,2020-01-22,7,2020-01-29,3.0
W008,Hainan,Alpha,2020-01-22,8,2020-01-30,3.0
W008,Hainan,Alpha,2020-01-22,9,2020-01-31,6.0
W008,Hainan,Alpha,2020-01-22,10,2020-02-01,10.0
W008,Hainan,Alpha,2020-01-22,11,2020-02-02,2.0
W008,Hainan,Alpha,2020-01-22,12,2020-02-03,8.0
W008,Hainan,Alpha,2020-01-22,13,2020-02-04,8.0
W008,Hainan,Alpha,2020-01-22,14,2020-02-05,19.0
W008,Hainan,Alpha,2020-01-22,15,2020-02-06,7.0
W008,Hainan,Alpha,2020-01-22,16,2020-02-07,11.0
W008,Hainan,Alpha,2020-01-22,17,2020-02-08,7.0
W008,Hainan,Alpha,2020-01-22,18,2020-02-09,7.0
W008,Hainan,Alpha,2020-01-22,19,2020-02-10,7.0
W008,Hainan,Alpha,2020-01-22,20,2020-02-11,6.0
W008,Hainan,Alpha,2020-01-22,21,2020-02-12,13.0
W008,Hainan,Alpha,2020-01-22,22,2020-02-13,0.0
W008,Hainan,Alpha,2020-01-22,23,2020-02-14,2.0
