wave_id,province,variant,start,end,duration_days,peak_cases,total_cases,reservoir_sse_log1p,classic_sse_log1p,reservoir_aic,classic_aic,delta_aic_classic_minus_reservoir,Q_accessible_scale,beta0_per_day,control_decay_q_per_day,activation_a_per_day,initial_active_fraction_s0,initial_reserve_fraction_u0,R0_combined,initial_active_count,recruited_to_active_count,direct_infections_from_reserve,max_active_count,Rt_below_one_day,recruitment_share_of_accessible_susceptible
W018,Shanghai,Alpha,2020-01-22,2020-02-26,36,34.0,339.0,6.177064366770023,8.775513119482628,-53.456328850516684,-44.815933043726524,8.64039580679016,372.3717682551357,1.608697849011304,0.00014719554911928404,1.0203132931348093,0.0019124874753372989,0.8047323601258154,0.42592263466523983,0.7121563429571501,267.72499709567325,29.747221899519246,77.88516666628736,0.25,0.9973470276568206
W019,Shanxi,Alpha,2020-01-22,2020-02-24,34,19.0,135.0,17.89918705968328,19.554551605436554,-11.814577767671498,-12.807183184075154,-0.9926054164036557,136.35000389971282,4.277483452560001,0.15248883131394386,2.1322677507590213,0.0019096305234567149,0.9394178372345633,1.0423872442344713,0.2603781293203337,115.23250954592642,12.803612171769606,51.447115236480705,13.75,0.9977455050647773
W020,Sichuan,Alpha,2020-01-22,2020-02-28,38,35.0,535.0,6.40372070574144,7.041893212127216,-57.666865164496855,-58.0569459342297,-0.39008076973284744,681.0391844244567,1.0260810362939614,0.05439597192156995,4.366705317677593,0.004639922821348884,0.9366263054444978,2.0687902184148714,3.1599692540438684,574.091265025396,63.78791833615507,401.2472352459812,14.75,0.9945258336970334
W021,Tianjin,Alpha,2020-01-22,2020-02-22,32,12.0,136.0,10.041175529505178,11.605429338612277,-27.089334744894146,-26.456411768156165,0.63292297673798,162.04264953980106,1.360322303728344,0.0003661723054212978,0.6275818813574138,0.002060005236908766,0.8004611205847219,0.2651888033528326,0.3338087066545621,106.66955365077,11.852172627863332,27.881477088040214,0.25,0.9968803904821568
W022,Yunnan,Alpha,2020-01-22,2020-02-21,31,18.0,176.0,8.558683639626503,9.885422358118463,-29.898265003805804,-29.43070666963083,0.4675583341749743,40795.57768573056,0.07015369414456954,0.00010000000000904583,427.8343255685923,0.9741009758213086,0.025702924492062896,5.839980592219566,39739.01203286414,943.4174531832915,104.82416146481017,40643.21648958436,10.25,0.023189801226272035
W023,Zhejiang,Alpha,2020-01-22,2020-02-22,32,132.0,1179.0,2.8354140247139723,6.189857881383589,-67.55353394622078,-46.57036082417761,20.98317312204317,1190.9204893782662,2.4889962134127472,0.06245247475564945,2.795754363095672,0.0019092291317738474,0.9309158412960892,1.3250663328868217,2.2737400919473525,997.7803837465966,110.86448708295518,451.92160473840323,12.5,0.9977263829639362
W024,Gansu,Alpha,2020-01-23,2020-02-13,22,12.0,90.0,9.505827415838581,10.089539154723841,-8.461023473610162,-11.14995245705018,-2.688928983440018,92.9216703999418,4.817198772235537,0.00010000309396369911,0.6793421118360827,0.0019092290942641222,0.8259027341309468,0.32652093403188354,0.17740875661519018,63.6214925623388,7.069054729148755,7.081844857461799,0.25,0.9972192505835566
W025,Heilongjiang,Alpha,2020-01-23,2020-02-23,32,50.0,480.0,5.50233504925461,6.940735859344154,-46.33802707997106,-42.90649927347779,3.4315278064932713,988.86197457864,7.999999998754808,0.1906501064656655,3.026369770366733,0.0019092320292626403,0.9819105523174682,1.5621814875274627,1.8879669543854383,872.4121438055749,96.93468264506389,551.8229728648154,17.0,0.9978405962298893
W026,Jilin,Alpha,2020-01-23,2020-02-20,29,12.0,91.0,6.927489391434662,9.756347667337952,-31.522152544475446,-25.591953706268367,5.93019883820708,91.91000000000012,2.0195522729987347,0.0004266154972621823,1.4195425118824787,0.0022229870400630614,0.9107353417598499,0.6688609599989929,0.20431473885219625,75.21866996678878,8.357629996309864,23.092971797481464,0.25,0.9972910812181873
W027,Shaanxi,Alpha,2020-01-23,2020-02-20,29,24.0,245.0,4.66930002653129,5.249738452973189,-42.96231304697628,-43.56440962005141,-0.60209657307513,268.4924423516449,1.1237806199575848,0.04339709776482398,4.075587941838823,0.005869253850376366,0.904742755225964,1.8766581004858085,1.5758503010693463,218.62492624248802,24.291658471387564,142.12789991102164,12.25,0.9928435751826221
